Mode,N,T,Mean,Median,Std Dev,Speedup,Efficiency
SEQ,1000,1,0.03223333333333334,0.032,0.0014985177861992687,1.0,
PAR,1000,2,0.04363333333333332,0.0395,0.009867398621498755,0.7387318563789156,0.3693659281894578
PAR,1000,4,0.03783333333333334,0.035500000000000004,0.008177543776845356,0.8519823788546257,0.21299559471365642
PAR,1000,8,0.040866666666666655,0.04,0.007744819056777389,0.7887438825448618,0.09859298531810773
SEQ,5000,1,0.7994666666666667,0.7925,0.03169619675748003,1.0,
PAR,5000,2,0.7646666666666666,0.7605,0.027016455890602854,1.0455100261551875,0.5227550130775938
PAR,5000,4,0.6795333333333335,0.679,0.026024006011544185,1.1764936721279307,0.29412341803198266
PAR,5000,8,0.6671,0.6545000000000001,0.03048316475258651,1.1984210263328836,0.14980262829161045
SEQ,10000,1,3.147066666666667,3.1365,0.15065389326385015,1.0,
PAR,10000,2,3.0190333333333332,3.0025,0.12621132630983986,1.0424087180223252,0.5212043590111626
PAR,10000,4,2.691133333333333,2.678,0.09004988740815961,1.1694205663041595,0.29235514157603987
PAR,10000,8,2.6190666666666673,2.633,0.09450112286222968,1.2015985338288446,0.15019981672860558
